"filename", "language", "XML", "Java", "Java Properties", "Markdown", "YAML", "comment", "blank", "total"
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/config/models/MessagesConfig.class", "Java", 0, 24, 0, 0, 0, 0, 0, 24
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/debug/DebugLogger.class", "Java", 0, 47, 0, 0, 0, 0, 0, 47
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/debug/DebugType.class", "Java", 0, 3, 0, 0, 0, 0, 0, 3
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/hooks/PlaceHook.class", "Java", 0, 65, 0, 0, 0, 0, 0, 65
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/ActionNode.class", "Java", 0, 38, 0, 0, 0, 0, 0, 38
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/ActionParser.class", "Java", 0, 92, 0, 0, 0, 0, 0, 92
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/ActionTrigger.class", "Java", 0, 19, 0, 0, 0, 0, 0, 19
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/CustomItem.class", "Java", 0, 31, 0, 0, 0, 0, 0, 31
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/ItemLoader.class", "Java", 0, 87, 0, 0, 0, 0, 0, 87
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/ItemRegistry.class", "Java", 0, 38, 0, 0, 0, 0, 0, 38
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/NoDropSettings.class", "Java", 0, 12, 0, 0, 0, 0, 1, 13
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/TargetResolver.class", "Java", 0, 26, 0, 0, 0, 0, 0, 26
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/TimeFormatter.class", "Java", 0, 28, 0, 0, 0, 0, 0, 28
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/TriggerConditions.class", "Java", 0, 30, 0, 0, 0, 0, 0, 30
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/TriggerContext.class", "Java", 0, 27, 0, 0, 0, 0, 0, 27
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/Action.class", "Java", 0, 3, 0, 0, 0, 0, 0, 3
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/ActionParser.class", "Java", 0, 64, 0, 0, 0, 0, 0, 64
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/AbstractAction.class", "Java", 0, 12, 0, 0, 0, 0, 0, 12
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/ActionBarAction.class", "Java", 0, 15, 0, 0, 0, 0, 0, 15
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/BlocksAction.class", "Java", 0, 46, 0, 0, 0, 0, 0, 46
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/ClearAction.class", "Java", 0, 20, 0, 0, 0, 0, 0, 20
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/ConsoleAction.class", "Java", 0, 39, 0, 0, 0, 0, 0, 39
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/bin/main/ru/last/lastitems/item/actions/types/CooldownAction.class", "Java", 0, 32, 0, 0, 0, 0, 0, 32
